Date, Open, High, Low, Close
11/03/23, 14985.12, 15149.78, 14965.29, 15099.49
11/02/23, 14856.95, 14930.76, 14792.81, 14919.55
11/01/23, 14453.68, 14677.86, 14441.90, 14664.91
10/31/23, 14340.86, 14420.44, 14232.40, 14409.78
10/30/23, 14283.98, 14388.20, 14225.86, 14335.51
10/27/23, 14245.75, 14321.04, 14130.37, 14180.42
10/26/23, 14314.01, 14372.51, 14058.33, 14109.57
10/25/23, 14642.08, 14643.69, 14362.24, 14381.64
10/24/23, 14678.41, 14774.16, 14610.33, 14745.85
10/23/23, 14514.11, 14746.37, 14419.06, 14604.85
10/20/23, 14752.59, 14781.22, 14552.12, 14560.88
10/19/23, 14981.13, 15023.91, 14749.30, 14783.13
10/18/23, 15022.28, 15103.87, 14865.81, 14909.26
10/17/23, 15009.26, 15187.06, 14932.77, 15122.01
10/16/23, 15054.48, 15209.50, 15047.27, 15172.73
10/13/23, 15225.73, 15232.37, 14943.42, 14995.12
10/12/23, 15264.11, 15333.98, 15090.69, 15184.10
10/11/23, 15194.53, 15248.22, 15119.61, 15241.12
10/10/23, 15074.04, 15241.94, 15050.54, 15131.52
10/09/23, 14871.57, 15070.64, 14816.32, 15047.15
10/06/23, 14622.23, 15021.38, 14575.95, 14973.24
10/05/23, 14769.55, 14784.69, 14584.39, 14723.22
10/04/23, 14613.23, 14803.04, 14592.56, 14776.25
10/03/23, 14744.05, 14819.87, 14504.14, 14565.62
10/02/23, 14717.90, 14892.18, 14701.52, 14837.57
09/29/23, 14853.35, 14901.85, 14664.78, 14715.24
09/28/23, 14530.96, 14787.58, 14510.17, 14702.77
09/27/23, 14600.14, 14657.21, 14432.60, 14580.16
09/26/23, 14668.45, 14678.48, 14505.68, 14545.83
09/25/23, 14662.69, 14771.12, 14615.45, 14768.90
09/22/23, 14756.62, 14855.92, 14686.84, 14701.10
09/21/23, 14813.49, 14849.25, 14691.69, 14694.24
09/20/23, 15225.34, 15245.19, 14967.60, 14969.92
09/19/23, 15152.53, 15219.92, 15069.42, 15191.23
09/18/23, 15161.17, 15268.96, 15155.46, 15225.37
09/15/23, 15425.95, 15435.45, 15173.71, 15202.40
09/14/23, 15433.01, 15512.82, 15337.18, 15473.89
09/13/23, 15293.27, 15414.61, 15256.60, 15348.53
09/12/23, 15390.59, 15447.85, 15278.88, 15289.74
09/11/23, 15409.77, 15482.84, 15328.35, 15461.87
09/08/23, 15265.57, 15374.22, 15244.06, 15280.23
09/07/23, 15174.22, 15288.20, 15138.73, 15258.52
09/06/23, 15467.32, 15487.00, 15289.48, 15371.44
09/05/23, 15460.52, 15556.85, 15419.96, 15508.24
09/01/23, 15600.95, 15618.85, 15429.36, 15490.86
08/31/23, 15475.43, 15575.01, 15466.41, 15501.07
08/30/23, 15386.67, 15484.83, 15341.94, 15462.43
08/29/23, 15043.02, 15391.56, 15034.54, 15376.55
08/28/23, 15035.48, 15086.23, 14948.92, 15052.46
08/25/23, 14858.93, 15001.29, 14715.36, 14941.83
08/24/23, 15278.93, 15279.24, 14814.83, 14816.44
08/23/23, 14947.58, 15188.86, 14947.58, 15148.06
08/22/23, 15035.07, 15037.79, 14883.98, 14908.96
08/21/23, 14762.01, 14958.86, 14739.37, 14936.69
08/18/23, 14589.71, 14744.57, 14557.83, 14694.84
08/17/23, 14943.34, 14949.58, 14698.29, 14715.81
08/16/23, 15021.63, 15077.05, 14874.02, 14876.47
08/15/23, 15172.08, 15192.88, 15014.36, 15037.65
08/14/23, 14988.42, 15206.26, 14972.01, 15205.59
08/11/23, 15010.52, 15102.53, 14973.67, 15028.07
08/10/23, 15217.29, 15366.29, 15072.49, 15128.84
08/09/23, 15286.99, 15288.76, 15077.91, 15101.71
08/08/23, 15279.41, 15295.80, 15148.25, 15273.05
08/07/23, 15355.62, 15410.85, 15258.92, 15407.85
08/04/23, 15420.74, 15523.31, 15258.69, 15274.92
08/03/23, 15287.77, 15436.59, 15270.72, 15353.54
08/02/23, 15561.15, 15561.36, 15321.44, 15370.74
08/01/23, 15696.98, 15748.43, 15636.57, 15718.01
07/31/23, 15774.30, 15803.55, 15702.74, 15757.00
07/28/23, 15630.17, 15788.48, 15617.75, 15750.93
07/27/23, 15734.03, 15795.51, 15416.05, 15464.93
07/26/23, 15514.04, 15571.16, 15411.91, 15499.26
07/25/23, 15483.06, 15622.69, 15482.04, 15561.42
07/24/23, 15475.15, 15504.67, 15374.66, 15448.02
07/21/23, 15554.95, 15600.54, 15410.57, 15425.67
07/20/23, 15717.67, 15771.84, 15429.87, 15466.09
07/19/23, 15888.16, 15932.05, 15781.96, 15826.35
07/18/23, 15671.72, 15895.68, 15607.71, 15841.35
07/17/23, 15608.28, 15745.67, 15576.51, 15713.28
07/14/23, 15610.00, 15720.06, 15531.00, 15565.60
07/13/23, 15432.48, 15602.74, 15420.71, 15571.98
07/12/23, 15279.35, 15364.09, 15209.71, 15307.23
07/11/23, 15068.13, 15135.29, 14974.16, 15119.06
07/10/23, 15031.95, 15066.43, 14924.64, 15045.64
